timestamp	experiment_name	param_keys	time_sec	memory_mb	tokens
2026-04-17T23:19:48.509558	baseline_v1	baseline	4.78	277.25	317
2026-04-17T23:21:52.750915	baseline_v2	baseline	3.16	281.37	317
2026-04-17T23:21:55.071766	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	2.28	277.81	317
2026-04-17T23:21:56.998566	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	1.9	278.29	317
2026-04-17T23:25:48.167263	baseline_v2	baseline	1.94	278.32	310
2026-04-17T23:25:49.988081	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	1.79	277.38	310
2026-04-17T23:25:52.179282	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	2.16	278.72	310
2026-04-17T23:36:33.040766	baseline_v2	baseline	0.35	0.0	20
2026-04-17T23:36:34.660964	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.36	0.0	20
2026-04-17T23:36:36.336749	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.3	0.0	20
2026-04-17T23:37:13.884460	baseline_v2	baseline	0.35	0.0	20
2026-04-17T23:37:15.309941	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.27	0.0	20
2026-04-17T23:37:16.641185	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.25	0.0	20
2026-04-17T23:39:34.938774	baseline_v2	baseline	0.43	0.0	20
2026-04-17T23:39:36.430434	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.27	0.0	20
2026-04-17T23:39:37.863261	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.26	0.0	20
2026-04-18T00:10:07.503835	baseline_v2	baseline	0.57	0.0	13
2026-04-18T00:10:09.087119	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.32	0.0	13
2026-04-18T00:10:10.655624	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.27	0.0	13
2026-04-18T00:12:22.053314	baseline_v2	baseline	0.28	0.0	13
2026-04-18T00:12:23.329509	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.24	0.0	13
2026-04-18T00:12:24.713051	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.21	0.0	13
2026-04-18T01:44:07.394605	baseline_v2	baseline	0.84	0.0	13
2026-04-18T01:44:09.129188	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.36	0.0	13
2026-04-18T01:44:10.733257	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.32	0.0	13
2026-04-18T01:45:19.087909	baseline_v2	baseline	0.34	0.0	13
2026-04-18T01:45:20.629302	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.32	0.0	13
2026-04-18T01:45:22.214675	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.32	0.0	13
2026-04-18T01:46:08.437384	baseline_v2	baseline	0.33	0.0	13
2026-04-18T01:46:09.707636	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.24	0.0	13
2026-04-18T01:46:11.026758	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.22	0.0	13
2026-04-18T01:57:01.851761	baseline_v2	baseline	0.42	0.0	13
2026-04-18T01:57:03.289636	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.23	0.0	13
2026-04-18T01:57:04.604418	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.27	0.0	13
2026-04-18T01:57:31.875546	baseline_v2	baseline	0.28	0.0	13
2026-04-18T01:57:33.214335	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.22	0.0	13
2026-04-18T01:57:34.586409	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.26	0.0	13
2026-04-18T01:58:00.315207	baseline_v2	baseline	0.3	0.0	880
2026-04-18T01:58:02.023301	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.35	0.0	880
2026-04-18T01:58:03.435353	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.27	0.0	880
2026-04-18T01:58:37.004556	baseline_v2	baseline	0.28	0.0	880
2026-04-18T01:58:38.247082	tight_budget_v1	L2_MAX_TOKENS=400,L3_MAX_TOKENS=500	0.23	0.0	880
2026-04-18T01:58:39.895058	generous_budget_v1	L2_MAX_TOKENS=1200,L3_MAX_TOKENS=1500	0.35	0.0	880
baseline_v3	baseline	0.7	226.68	880
tight_budget_v2	{'n': 5}	0.5	224.65	292
generous_budget_v2	{'n': 25}	0.47	225.59	1466
